Id,Fecha Hora,IdContainer,Carga,Capacidad_Carga_M3,Capacidad_Ocupada_M3,Capacidad_Libre_M3,lat,long,Ubicación,Recolectar
1,"26/05/2018, 00:00:00",C001,0,3200,0,3200,"-34,855106","-58,5256724",Municipalidad Ezeiza,L
2,"26/05/2018, 01:00:00",C001,283,3200,283,2917,"-34,855106","-58,5256724",Municipalidad Ezeiza,L
3,"26/05/2018, 02:00:00",C001,217,3200,500,2983,"-34,855106","-58,5256724",Municipalidad Ezeiza,L
4,"26/05/2018, 03:00:00",C001,186,3200,686,3014,"-34,855106","-58,5256724",Municipalidad Ezeiza,L
5,"26/05/2018, 04:00:00",C001,171,3200,857,3029,"-34,855106","-58,5256724",Municipalidad Ezeiza,L
6,"26/05/2018, 05:00:00",C001,227,3200,1084,2973,"-34,855106","-58,5256724",Municipalidad Ezeiza,M
7,"26/05/2018, 06:00:00",C001,179,3200,1263,3021,"-34,855106","-58,5256724",Municipalidad Ezeiza,M
8,"26/05/2018, 07:00:00",C001,347,3200,1610,2853,"-34,855106","-58,5256724",Municipalidad Ezeiza,M
9,"26/05/2018, 08:00:00",C001,300,3200,1910,2900,"-34,855106","-58,5256724",Municipalidad Ezeiza,M
10,"26/05/2018, 09:00:00",C001,344,3200,2254,2856,"-34,855106","-58,5256724",Municipalidad Ezeiza,H
11,"26/05/2018, 10:00:00",C001,69,3200,2323,3131,"-34,855106","-58,5256724",Municipalidad Ezeiza,H
12,"26/05/2018, 11:00:00",C001,45,3200,2368,3155,"-34,855106","-58,5256724",Municipalidad Ezeiza,H
13,"26/05/2018, 12:00:00",C001,340,3200,2708,2860,"-34,855106","-58,5256724",Municipalidad Ezeiza,H
14,"26/05/2018, 13:00:00",C001,77,3200,2785,3123,"-34,855106","-58,5256724",Municipalidad Ezeiza,H
15,"26/05/2018, 14:00:00",C001,106,3200,2891,3094,"-34,855106","-58,5256724",Municipalidad Ezeiza,H
16,"26/05/2018, 15:00:00",C001,219,3200,3110,2981,"-34,855106","-58,5256724",Municipalidad Ezeiza,H
17,"26/05/2018, 16:00:00",C001,84,3200,3194,3116,"-34,855106","-58,5256724",Municipalidad Ezeiza,H
18,"26/05/2018, 17:00:00",C001,164,3200,3194,3036,"-34,855106","-58,5256724",Municipalidad Ezeiza,H
19,"26/05/2018, 18:00:00",C001,34,3200,3194,3166,"-34,855106","-58,5256724",Municipalidad Ezeiza,H
20,"26/05/2018, 19:00:00",C001,308,3200,3194,2892,"-34,855106","-58,5256724",Municipalidad Ezeiza,H
